"Reporter","Year","Period","Flow","Partner","Commodity","Trade Value (US$)"
"Philippines","2021","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1292314"
"Singapore","2004","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","30880966.1006922"
"Singapore","2010","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","26854589.9230323"
"Singapore","2010","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","16802769.9649941"
"Singapore","2011","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","27369914.8951157"
"Singapore","2015","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","11006351.7042903"
"Thailand","2006","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","35340594.52"
"Thailand","2006","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","19879796.05"
"Thailand","2003","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","52254957.71"
"Thailand","2012","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","52598487.36654"
"Thailand","2021","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","69135780.3255"
"Thailand","2017","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","50002822.1387853"
"Viet Nam","2007","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","11415426.27"
"Viet Nam","2012","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","19055467.646"
"Viet Nam","2013","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","21830531.3309"
"Singapore","2022","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","16183666.0166557"
"Viet Nam","2017","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","244512589.468"
"Viet Nam","2010","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","86425825.6449"
"Viet Nam","2018","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","382365165.9039"
"Viet Nam","2018","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","50782670.8523"
"Viet Nam","2019","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","97805261.979"
"Viet Nam","2023","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","343706055.3958"
"Viet Nam","2005","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6455806.3945"
"Brunei Darussalam","2008","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","848249.03793293"
"Brunei Darussalam","2016","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","4.33651344319167"
"Brunei Darussalam","2017","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included",".729554242357919"
"Viet Nam","2010","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","12256210.3694"
"Brunei Darussalam","2020","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","13892.1303846637"
"Indonesia","2009","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","4971558"
"Indonesia","2014","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","20246331"
"Indonesia","2018","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","162442345"
"Indonesia","2019","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","171887798"
"Indonesia","2006","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6212563"
"Cambodia","2016","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","55578.943352"
"Cambodia","2010","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","5573.23012823349"
"Cambodia","2018","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","43427.54"
"Cambodia","2019","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","44805.65"
"Cambodia","2010","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","317.77820724377"
"Cambodia","2021","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","260766.17"
"Indonesia","2024","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","45279027.051"
"Myanmar","2003","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","196186"
"Cambodia","2016","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","228941.522843"
"Indonesia","2021","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","141119915"
"Cambodia","2003","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","8468.84"
"Cambodia","2007","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","118.68"
"Cambodia","2008","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","2003.19743023173"
"Cambodia","2012","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","347.255480776039"
"Myanmar","2005","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1074065"
"Cambodia","2024","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1627174.6"
"Myanmar","2012","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","8079969.68"
"Myanmar","2013","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","11611381.6886705"
"Myanmar","2007","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","2097242.62"
"Cambodia","2022","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","12263005.51"
"Cambodia","2015","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","195539.71"
"Myanmar","2004","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","865012"
"Cambodia","2023","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","9685094.94"
"Myanmar","2017","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","33446659.70511"
"Cambodia","2018","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1195597.05"
"Malaysia","2009","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","3333183.7096374"
"Malaysia","2010","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6732562.36347982"
"Malaysia","2011","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","13754480.1162728"
"Malaysia","2021","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","25161735.0406167"
"Malaysia","2023","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","18759402.5050421"
"Philippines","2006","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","4822963"
"Malaysia","2019","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","24636079.9475129"
"Malaysia","2019","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","9965582.9066681"
"Philippines","2022","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","32124781"
"Philippines","2023","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","26659408"
"Philippines","2008","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","9881284"
"Philippines","2016","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6469601"
"Singapore","2008","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","24134105.1738762"
"Philippines","2020","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","14780212"
"Singapore","2017","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","16033856.0823675"
"Singapore","2006","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","26816998.5524577"
"Singapore","2015","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","31306244.9338554"
"Philippines","2024","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","2169013"
"Singapore","2016","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","13396690.905768"
"Singapore","2024","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","11943342.3955918"
"Thailand","2019","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","56866647.2112439"
"Thailand","2018","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","50881610.043617"
"Viet Nam","2006","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","7539185.1"
"Thailand","2010","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","45833619.8179058"
"Viet Nam","2007","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","5713321.92"
"Thailand","2010","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","35041797.8006437"
"Viet Nam","2021","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","107677084.4626"
"Brunei Darussalam","2003","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","184.45"
"Viet Nam","2022","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","364096622.8381"
"Viet Nam","2025","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","483878409.1512"
"Brunei Darussalam","2010","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","25695.4923668263"
"Brunei Darussalam","2011","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","54361.5110162118"
"Brunei Darussalam","2011","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included",".810175808150369"
"Brunei Darussalam","2007","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","2500"
"Brunei Darussalam","2024","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","2736.35244385726"
"Indonesia","2009","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","26627876"
"Brunei Darussalam","2019","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","358.761061946903"
"Brunei Darussalam","2021","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","7835.72706939354"
"Indonesia","2011","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","12141683"
"Brunei Darussalam","2025","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1.44107848454327"
"Myanmar","2010","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1104546.05"
"Myanmar","2010","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","4956594.07"
"Indonesia","2016","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","18125658.545"
"Myanmar","2024","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","46969891.95"
"Myanmar","2021","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","18399775.94588"
"Malaysia","2005","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6626400.52"
"Myanmar","2012","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","4891716.32822064"
"Myanmar","2013","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","21753637.4074757"
"Malaysia","2015","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","4629188.16897654"
"Malaysia","2006","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6574310.36"
"Malaysia","2007","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","9465854"
"Malaysia","2009","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","11027658.1717648"
"Malaysia","2016","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","5880653.75083988"
