iso3,year,export_usd,export_usd_agri,export_usd_fuels,export_usd_mfg,export_usd_non_agri,trade_source
IDN,2018,180012674001.964,34725642185.206,47359969059.854,97873474667.25803,145239078454.13602,ASEANstats
IDN,2019,167682996134.228,32242786212.045,37593509746.679,97767263996.85199,135365778437.633,ASEANstats
IDN,2020,163191838162.79,36546620997.667,29140909442.797,97447975673.49101,126595316576.148,ASEANstats
IDN,2021,231710105855.52902,50709498709.72,51948862782.825005,129030791245.42798,180986363263.58798,ASEANstats
IDN,2022,292186695398.50104,55187078632.703995,81781580307.742,155190128246.59903,236977711074.40002,ASEANstats
IDN,2023,259527777420.696,47905040276.821,68778264905.356,142824503057.189,211607701286.761,ASEANstats
IDN,2024,266529176253.852,49412470564.45,64280561186.25101,152812176893.441,217099710121.299,ASEANstats
IDN,2025,260964763745.5369,54112507264.40659,46906827609.2025,159917901732.971,206834561344.74353,ASEANstats
KHM,2010,3825902657.462535,91480593.35671572,621099.0094696964,3710654070.4467344,3731826363.504555,ASEANstats
KHM,2011,5121058659.639476,174334162.68874705,729798.0750930174,4940496221.547084,4943651051.800191,ASEANstats
KHM,2012,5330545902.2902775,223172143.68301803,1335512.741460431,4927037004.820103,4931334224.982945,ASEANstats
KHM,2013,6665865414.361354,404041776.7526319,509908.1428817787,6254418513.425258,6258957089.430901,ASEANstats
KHM,2014,6748663680.24069,361677213.5341527,813893.5171950572,6327445344.522051,6386986466.706537,ASEANstats
KHM,2015,8557668794.46,455487222.01000005,1427700.03,8096316633.389998,8098280327.51,ASEANstats
KHM,2016,10073044058.48827,474134546.37190497,1514743.095685,9593494439.340458,9595231048.545818,ASEANstats
KHM,2017,11278127964.009998,583408276.7400002,6302718.85,10684891563.52,10691395720.13,ASEANstats
KHM,2018,12700279675.740002,698601486.9300001,9616457.93,11987491971.490002,11997960932.020002,ASEANstats
KHM,2019,14844775835.800007,718987468.2299999,6906577.6899999995,14115689874.480013,14122896448.82001,ASEANstats
KHM,2020,17412052058.33999,813882915.55,5476324.81,16590382491.839989,16596130368.719988,ASEANstats
