iso3,country,year,export_usd,lsci,gdp_usd,population,fdi_gdp,reer,official_fx,clmv,asean6,covid,ln_export,ln_lsci,ln_gdp,ln_population,ln_lsci_lag1,data_complete,export_usd_agri,export_usd_mfg,ln_export_agri,ln_export_mfg,lsci_lag1,fx_growth,lsci_quarters,lsci_partial_year
MMR,Myanmar,2010,7871068396.217127,25.45837,49540813342.4834,49024382.0,1.81897202342465,,5.63488333333333,1,0,0,22.78645964571668,3.2370445690844782,24.62606267876715,17.70782832415387,,1,1452922896.3362572,5890001455.461642,21.096843154976007,22.496522081717117,,,4,0
MMR,Myanmar,2011,7418904930.984977,25.64648,59977326085.9908,49419820.0,4.20127651183029,,5.44410833333334,1,0,0,22.72729729980899,3.2444063302307993,24.817232429180034,17.715862116268003,3.2370445690844782,1,1724858077.6141248,5400717928.089478,21.26841061019817,22.409797731325817,25.45837,-0.03385606918806183,4,0
MMR,Myanmar,2012,8374815859.195218,37.2916675,59937796648.2158,49837446.0,2.22540068514517,,640.653416666667,1,0,0,22.84849492745406,3.6187699102732784,24.816573138870265,17.724277187149717,3.2444063302307993,1,2811927634.425516,5483554578.387424,21.75713607600662,22.42501937331778,25.64648,116.678300548146,4,0
MMR,Myanmar,2013,11232890753.37058,39.9086675,60269732854.827,50262658.0,3.74085607932619,,933.570456356879,1,0,0,23.142111986050722,3.6865935308811135,24.822095871958123,17.732772973679367,3.6187699102732784,1,3383869848.50615,6864540678.816529,21.942285817107415,22.649634966253714,37.2916675,0.4572160735741728,4,0
MMR,Myanmar,2014,11030641921.368134,40.0606,65531374199.6663,50681634.0,3.31904421407388,,984.345747560046,1,0,0,23.123942866285226,3.6903933076592095,24.905794860320686,17.741074154412857,3.6865935308811135,1,2915588083.940068,7423693959.912457,21.793337380463043,22.72794260850848,39.9086675,0.05438827981051375,4,0
MMR,Myanmar,2015,11432342562.572533,47.5433,59607290407.6191,51089056.0,6.85124098710894,,1162.61532862554,1,0,0,23.159712242360555,3.861640874752203,24.811043725812443,17.749080863939174,3.6903933076592095,1,3488827732.1723027,7358119948.396075,21.972831623375566,22.719070295262373,40.0606,0.18110463879930516,4,0
MMR,Myanmar,2016,11836566477.837782,52.72942,63298361996.2153,51495696.0,5.17880132517466,,1234.86951666667,1,0,0,23.194459430920183,3.9651735540508204,24.871125288924688,17.75700878932603,3.861640874752203,1,4476361978.204416,7270526282.574341,22.222076495038728,22.707094516872335,47.5433,0.06214797471021627,4,0
MMR,Myanmar,2017,13877953288.755665,44.97264,66053040483.0016,51894938.0,7.27335555212816,,1360.35870704085,1,0,0,23.353567323569685,3.806054304863367,24.913723899906,17.764731809660706,3.9651735540508204,1,4466357118.64387,9316847404.57604,22.219838951037538,22.955090147109065,52.72942,0.10162141722707485,4,0
MMR,Myanmar,2018,16703641418.862478,43.4245575,67860515989.517,52272247.0,2.60563229851106,,1429.80797520107,1,0,0,23.538892581633565,3.7710251220925217,24.94072020000947,17.77197613809496,3.806054304863367,1,4662614217.656499,12015401298.11598,22.2628421187008,23.20945510533705,44.97264,0.051052173078151464,4,0
MMR,Myanmar,2019,17997120540.487553,37.23075,75065106227.6892,52640713.0,2.31211211194364,,1518.25511666667,1,0,0,23.6134776120731,3.617135032726036,25.04162165695241,17.779000389722434,3.7710251220925217,1,4365671322.100254,13629228639.447296,22.197037810999035,23.33548248820289,43.4245575,0.06185945455589015,4,0
MMR,Myanmar,2020,16949753640.154612,38.3599275,79006113643.1906,53016522.0,2.41393222885654,,1381.61916666667,1,0,1,23.55351913616309,3.647013360023879,25.092791074307634,17.786114158785928,3.617135032726036,1,4856417427.34555,12091567001.75906,22.3035668481594,23.215774104568744,37.23075,-0.08999538252832251,4,0
MMR,Myanmar,2021,15153407713.212622,32.315192499999995,66345291160.1683,53387102.0,3.11492561696787,,,1,0,1,23.441491275173668,3.4755374756830357,24.918138625502593,17.793079739175482,3.647013360023879,1,4901771478.9687805,10249534018.04384,22.312862503048258,23.050498079843155,38.3599275,0.0,4,0
MMR,Myanmar,2022,17083481669.427988,36.2486375,62253049891.6449,53756787.0,1.98946076080719,,,1,0,0,23.56137784934759,3.5904017943874083,24.85447336533434,17.79998048676813,3.4755374756830357,1,4594720469.59061,12488447567.96738,22.24817375729984,23.24806985936095,32.315192499999995,0.0,4,0
MMR,Myanmar,2023,14753234816.86541,47.246375,66757619000.0,54133798.0,2.27715131661601,,,1,0,0,23.414728205305394,3.855375931419935,24.92433427003513,17.806969280730744,3.5904017943874083,1,4218236052.70353,10534998764.161882,22.162682880619553,23.077968766894713,36.2486375,0.0,4,0
MMR,Myanmar,2024,14898890725.65928,41.1990725,74068349523.8095,54500091.0,1.47879223317634,,,1,0,0,23.42455259918411,3.7184157439661565,25.02825414606923,17.81371292935685,3.855375931419935,1,5472085929.96573,9426804795.69355,22.42292572071897,22.966823042207828,47.246375,0.0,4,0
MMR,Myanmar,2025,14566760372.58523,36.24783,81665773809.5238,54850648.0,,,,1,0,0,23.402008083259744,3.590379517439913,25.125900825818658,17.820124558654015,3.7184157439661565,1,4184883929.2237697,10381876443.36146,22.154744805550724,23.063327473236658,41.1990725,0.0,4,0
MYS,Malaysia,2010,198612140591.68945,442.247695,255017638455.59,28655776.0,4.26864663854031,100.0,3.22108691472175,0,1,0,26.014619717563637,6.09187012104214,26.264598550126752,17.17086558638999,,1,22458774782.3254,175295716370.49884,23.834947233670142,25.889740192582444,,,4,0
MYS,Malaysia,2011,228086016535.1389,493.95318,297951668674.835,29162039.0,5.07446032143377,99.937321493972,3.06000301052058,0,1,0,26.15298866025911,6.202440735368333,26.420197124643384,17.188378387214307,6.09187012104214,1,30282672882.177765,196847383839.6482,24.133841533818636,26.005694564126674,442.247695,-0.050009176549986156,4,0
MYS,Malaysia,2012,227544077244.2573,480.83371,314443047642.111,29662831.0,2.82905738174529,99.6471474510842,3.08880086662188,0,1,0,26.150609802699663,6.175521493076056,26.474068808110047,17.205405338534526,6.202440735368333,1,27355413650.309982,198946837425.66196,24.03218028590919,26.016303477365593,493.95318,0.009411054826511611,4,0
MYS,Malaysia,2013,228223394954.31705,474.15216,323276235524.415,30174265.0,3.49431175959971,99.0621548005978,3.15090855009724,0,1,0,26.153590788638976,6.161528282839765,26.50177301302007,17.222499966739033,6.175521493076056,1,24061193060.691586,203017582659.49832,23.903866133158466,26.036558426323612,480.83371,0.020107376991021386,4,0
MYS,Malaysia,2014,233927349148.70963,461.6900325,338066095097.254,30696137.0,3.14122940365348,97.9306111605156,3.27285974643047,0,1,0,26.178276430373703,6.134893740585947,26.546507260937496,17.239647374021196,6.161528282839765,1,24846092518.72229,208093405451.9734,23.935966334417767,26.061252880521312,474.15216,0.03870350230553865,4,0
MYS,Malaysia,2015,199157940658.7682,473.30025,301355266964.947,31232798.0,3.27094402931735,89.3872569279287,3.90550026302768,0,1,0,26.01736401853221,6.159729965118275,26.431555694622006,17.256979318585756,6.134893740585947,1,20711626563.97219,177734663409.27783,23.753961049297427,25.90355762010293,461.6900325,0.1932990001442001,4,0
MYS,Malaysia,2016,189659167796.5431,478.178465,301256033870.334,31789685.0,4.47130958598651,86.387952757225,4.14830066287879,0,1,0,25.968494444522193,6.169984020551384,26.431226350995782,17.27465242406155,6.159729965118275,1,20962782054.199383,168113638811.22238,23.766014419184675,25.847906009175134,473.30025,0.06216883459198197,4,0
MYS,Malaysia,2017,217722000283.42413,463.0247075,319109094160.343,32355644.0,2.9358203805856,84.982915692761,4.30044087761124,0,1,0,26.10648485788259,6.137780416593316,26.48879886923016,17.292299030463333,6.169984020551384,1,21867026919.85933,195126823218.48105,23.8082457190862,25.996915559587073,478.178465,0.036675310469629574,4,0
MYS,Malaysia,2018,248671683759.73267,467.134855,358788845712.53,32910967.0,2.31458721219734,88.474346316969,4.03513013706806,0,1,0,26.239399324256006,6.146617984719847,26.6059998788901,17.309316503654056,6.137780416593316,1,20731970795.52385,227061965400.26468,23.754942828606268,26.148488792508388,463.0247075,-0.06169384676916001,4,0
MYS,Malaysia,2019,238088999432.84943,460.5462075,365177721021.516,33440596.0,2.50697705748044,87.2353834702942,4.14246973569731,0,1,0,26.195910387913905,6.132413192680982,26.623649978936463,17.325281168988454,6.146617984719847,1,20392436445.53868,216908022715.49417,23.73842990657359,26.102739242179542,467.134855,0.02660127306507243,4,0
MYS,Malaysia,2020,234609548237.8355,468.5965325,337456163961.211,33889558.0,1.20275464255821,84.1523454190495,4.20348194851884,0,1,1,26.181188472413584,6.14974212634508,26.54470145426389,17.338617501302846,6.132413192680982,1,22056502914.77293,212085615140.4409,23.816873312129612,26.08025587509706,460.5462075,0.01472846314259435,4,0
